working on "serverName","Number of Logical CPU","hyperthread_ratio","Number of Physical CPU"
"serverName","Number of Logical CPU","hyperthread_ratio","Number of Physical CPU"
working on "DDMSQL07","4","1","4"
"DDMSQL07","4","1","4"
working on "DDMSQL08","4","1","4"
"DDMSQL08","4","1","4"
working on "DDMSQL09","2","2","1"
"DDMSQL09","2","2","1"
working on "DDMSQL12","2","1","2"
"DDMSQL12","2","1","2"
working on "DDMSQL13","2","1","2"
"DDMSQL13","2","1","2"
working on "DDMSQL14","2","1","2"
"DDMSQL14","2","1","2"
working on "DDMSSIS01","2","2","1"
"DDMSSIS01","2","2","1"
working on "DDMSSIS02","2","1","2"
"DDMSSIS02","2","1","2"
working on "DDMSSRS04","2","1","2"
"DDMSSRS04","2","1","2"
working on "DDMSQL10","12","2","6"
"DDMSQL10","12","2","6"
working on "SQLTEST2016","4","4","1"
"SQLTEST2016","4","4","1"
working on "SQLTEST2016-1","2","1","2"
"SQLTEST2016-1","2","1","2"
working on "HVMSQL04","4","1","4"
"HVMSQL04","4","1","4"
working on "PADMINSQL01","8","1","8"
"PADMINSQL01","8","1","8"
working on "PADMINSQL02","4","2","2"
"PADMINSQL02","4","2","2"
working on "PADMINSQL03","2","1","2"
"PADMINSQL03","2","1","2"
working on "PDSXAPP02","2","1","2"
"PDSXAPP02","2","1","2"
working on "PDMSQL05","6","1","6"
"PDMSQL05","6","1","6"
working on "PDMSQL07","8","2","4"
"PDMSQL07","8","2","4"
working on "PDMSQL08","4","1","4"
"PDMSQL08","4","1","4"
working on "PDMSQL09","2","1","2"
"PDMSQL09","2","1","2"
working on "PDMSQL10","12","3","4"
"PDMSQL10","12","3","4"
working on "PDMSQL12","9","3","3"
"PDMSQL12","9","3","3"
working on "PDMSQL13","6","1","6"
"PDMSQL13","6","1","6"
working on "PDMSQL14","16","4","4"
"PDMSQL14","16","4","4"
working on "PDMSSIS01","4","2","2"
"PDMSSIS01","4","2","2"
working on "PDMSSIS02","2","1","2"
"PDMSSIS02","2","1","2"
working on "PDMSSRS04","4","1","4"
"PDMSSRS04","4","1","4"
working on "PFOGSQL01","4","1","4"
"PFOGSQL01","4","1","4"
working on "PQRMSQL11","8","2","4"
"PQRMSQL11","8","2","4"
working on "PSHAREPSQL02","2","1","2"
"PSHAREPSQL02","2","1","2"
working on "PVMSQL04","4","1","4"
"PVMSQL04","4","1","4"
working on "TDMSQL05","2","1","2"
"TDMSQL05","2","1","2"
working on "TDMSQL07","4","1","4"
"TDMSQL07","4","1","4"
working on "TDMSQL09","2","2","1"
"TDMSQL09","2","2","1"
working on "TDMSQL12","2","1","2"
"TDMSQL12","2","1","2"
working on "TDMSQL13","2","1","2"
"TDMSQL13","2","1","2"
working on "TDMSQL14","4","2","2"
"TDMSQL14","4","2","2"
working on "TDMSQL14","4","2","2"
"TDMSQL14","4","2","2"
working on "TDMSSIS01","2","1","2"
"TDMSSIS01","2","1","2"
working on "TDMSSIS02","2","1","2"
"TDMSSIS02","2","1","2"
working on "TDMSSRS04","2","1","2"
"TDMSSRS04","2","1","2"
working on "TVIEWSQL01","2","1","2"
"TVIEWSQL01","2","1","2"
working on "TQRMSQL11","4","2","2"
"TQRMSQL11","4","2","2"
working on "TSHAREPSQL02","2","1","2"
"TSHAREPSQL02","2","1","2"
working on "UDMSQL07","4","1","4"
"UDMSQL07","4","1","4"
working on "UDMSQL12","2","1","2"
"UDMSQL12","2","1","2"
working on "UDMSQL14","6","2","3"
"UDMSQL14","6","2","3"
working on "UDMSSIS01","2","1","2"
"UDMSSIS01","2","1","2"
working on "UDMSSIS02","2","1","2"
"UDMSSIS02","2","1","2"
working on "UDMSSRS04","2","1","2"
"UDMSSRS04","2","1","2"
working on "UDMSQL10","12","2","6"
"UDMSQL10","12","2","6"
working on "TDMSQL10","4","4","1"
"TDMSQL10","4","4","1"
working on "DDMSQL15","4","1","4"
"DDMSQL15","4","1","4"
working on "TDMSQL15","4","1","4"
"TDMSQL15","4","1","4"
working on "UDMSQL15","4","1","4"
"UDMSQL15","4","1","4"
working on "PDMSQL15","4","1","4"
"PDMSQL15","4","1","4"
working on "PDMSQL16","4","1","4"
"PDMSQL16","4","1","4"
working on "TDMSQL16","4","1","4"
"TDMSQL16","4","1","4"
working on "DDMSQL16","4","1","4"
"DDMSQL16","4","1","4"
working on "UDMSQL16","4","1","4"
"UDMSQL16","4","1","4"
working on "PIDERAAPP01","4","1","4"
"PIDERAAPP01","4","1","4"
